source,scraped_at,url,sku,title,company_name,company_slug,company_id,company_url,company_logo_url,company_size,company_tagline,company_badges,job_slug,job_type,primary_role,years_experience_min,years_experience_max,posted_at,locations,remote,remote_kind,wfh_flexible,remote_locations,compensation,salary_min,salary_max,salary_currency,salary_period,equity_min,equity_max,has_equity,description,benefits,industry,data_source,page,position
wellfound.com,2026-09-17T15:44:38.519921+00:00,https://wellfound.com/jobs/4697947-senior-software-engineer,4697947,Senior Software Engineer,Confident LIMS,confidentlims,829771,https://wellfound.com/company/confidentlims,https://photos.wellfound.com/startups/i/829771-0deed706d7c625c16e51b403c4b1ad20-medium_jpg.jpg?buster=1742329133,11-50,The easiest way to test,Actively Hiring | Top 1% of responders | Responds within a day | B2B | Early Stage | Top Investors | YC Funded,senior-software-engineer,full-time,Software Engineer,5,,2026-09-10T17:59:14+00:00,San Francisco Bay Area,True,REMOTE,False,Canada | South America | United States | Latin America,$100k – $180k • 0.05% – 0.25%,100000.0,180000.0,USD,,0.05,0.25,True,"Confident powers analytical testing labs — the labs that test samples on behalf of businesses and report product safety to consumers and regulators at high volume. When a lab publishes a result through our platform, businesses make decisions with it and regulators rely on it. Our technology is essen …[truncated for sample_output]",,,apollo,1,1
wellfound.com,2026-09-17T15:44:38.519921+00:00,https://wellfound.com/jobs/4579450-software-engineer,4579450,Software Engineer,Oklo,oklo,5268250,https://wellfound.com/company/oklo,https://photos.wellfound.com/startups/i/5268250-a0d534809c2c6fa47e19e6c82e50f089-medium_jpg.jpg?buster=1621284628,201-500,Making reactors people want,Actively Hiring | B2B | Growth Stage | Top Investors | YC Funded | Growing fast,software-engineer,full-time,Software Engineer,,,2026-08-12T16:29:14+00:00,Santa Clara,True,,,United States,$110k – $200k,110000.0,200000.0,USD,,,,,"Join us in pioneering the next generation of nuclear reactors! You'll leverage your software skills alongside nuclear engineers to model, simulate, design, and deploy advanced fission power technology. You will work at the forefront of the nuclear industry, developing novel techniques to reach new l …[truncated for sample_output]",,,apollo,1,2
wellfound.com,2026-09-17T15:44:38.519921+00:00,https://wellfound.com/jobs/4689464-software-engineer,4689464,Software Engineer,Canva,canva,93099,https://wellfound.com/company/canva,https://photos.wellfound.com/startups/i/93099-c9467ae036661c34055ea3fcec6b0a35-medium_jpg.jpg?buster=1633634472,1001-5000,Empowering the world to design,Actively Hiring | Scale Stage | Top Investors | Valuation $1B+,software-engineer,full-time,Software Engineer,,,2026-09-08T00:58:15+00:00,Sydney,True,ONSITE_OR_REMOTE,False,,,,,,,,,,"**Join the team redefining how the world experiences design.**
Hey, g'day, mabuhay, kia ora, 你好, hallo, vítejte!
Thanks for stopping by. We know job hunting can be a little time consuming and you're probably keen to find out what's on offer, so we'll get straight to the point. 

**Where and how you  …[truncated for sample_output]",,,apollo,1,16
wellfound.com,2026-09-17T15:44:38.519921+00:00,https://wellfound.com/jobs/4670300-software-engineer,4670300,Software Engineer,ThriveCart,thrivecart-2,10370980,https://wellfound.com/company/thrivecart-2,https://photos.wellfound.com/startups/i/10370980-bff6e856b934bdf437651e615f38ef6b-medium_jpg.jpg?buster=1788431811,51-200,ThriveCart is an e-commerce platform helping entrepreneurs build and scale online business,Actively Hiring | Top 10% of responders | Responds within a few days,software-engineer,full-time,Software Engineer,5,,2026-09-03T11:14:44+00:00,London,True,REMOTE,False,Europe | Latin America,No equity,,,,,,,False,"**About ThriveCart:**

ThriveCart is a powerful platform used by over 50,000 people worldwide to generate over $5B in sales. Included within the ThriveCart platform is a learning management system (LMS), affiliate management, cart and checkout functionality, making it a top solution for creators, co …[truncated for sample_output]",,,apollo,1,34
wellfound.com,2026-09-17T15:44:48.407951+00:00,https://wellfound.com/jobs/3172551-software-engineer,3172551,Software Engineer,Aleph,getaleph,8453824,https://wellfound.com/company/getaleph,https://photos.wellfound.com/startups/i/8453824-10cfa1b717c3a37fad098807b7165d34-medium_jpg.jpg?buster=1746120544,11-50,"AI-native FP&A that connects your data, strategy, and spreadsheets",Actively Hiring | B2B | Early Stage | Top Investors | YC Funded | Growing fast,software-engineer,full-time,Full-Stack Engineer,,,2025-07-16T23:36:09+00:00,United States,True,REMOTE,False,United States,$75k – $265k,75000.0,265000.0,USD,,,,,"# **About Aleph**

Aleph is an AI-native platform for Financial Planning & Analysis (FP&A), an established software category with a multi-billion market but no clear winner. We’re trying to solve a problem many finance teams are super familiar with: data scattered across a million systems, endless s …[truncated for sample_output]",,,apollo,2,1
wellfound.com,2026-09-17T15:44:48.407951+00:00,https://wellfound.com/jobs/3212375-senior-software-engineer,3212375,Senior Software Engineer,JetInsight,jetinsight,753108,https://wellfound.com/company/jetinsight,https://photos.wellfound.com/startups/i/753108-a8cb320c6e41dd9bb47d457dcdfd1558-medium_jpg.jpg?buster=1456358441,11-50,Best-in-class quoting and fleet management software for aircraft charter operators,Actively Hiring | B2B | Early Stage | Top Investors,senior-software-engineer,full-time,Software Engineer,,,2026-03-24T16:36:43+00:00,San Mateo,True,,,United States,,,,,,,,,"We’re looking for a full stack Senior Software Engineer to join our growing engineering team. You’ll work on all areas of the JetInsight product and help solve challenging problems involving route optimization, dynamic pricing, real-time flight data, and others that will have a major impact on our r …[truncated for sample_output]",,,apollo,2,11
wellfound.com,2026-09-17T15:44:48.407951+00:00,https://wellfound.com/jobs/4656906-senior-frontend-software-engineer-clone,4656906,Founding Frontend Software Engineer,Backpack,backpack-8,9952722,https://wellfound.com/company/backpack-8,https://photos.wellfound.com/startups/i/9952722-e70fe94afbfb08468abefb20bef0bd9b-medium_jpg.jpg?buster=1705211342,11-50,Building financial infrastructure for higher education,Actively Hiring | Top 10% of responders | Responds within two weeks | B2C | B2B | Early Stage,senior-frontend-software-engineer-clone,full-time,Software Engineer,7,,2026-08-31T17:01:50+00:00,Austin | New York City,True,ONSITE_OR_REMOTE,False,United States,$170k – $200k • 0.2% – 0.4%,170000.0,200000.0,USD,,0.2,0.4,True,"Backpack is building the financial infrastructure **for the $1.8 Trillion higher education market.**

We connect universities with everyone who pays them, reducing friction to make education more **accessible and affordable**. Our wedge is becoming the **national clearinghouse for external payments* …[truncated for sample_output]",,,apollo,2,13
wellfound.com,2026-09-17T15:44:48.407951+00:00,https://wellfound.com/jobs/4372312-software-engineer,4372312,Software Engineer,The Prompt Academy,the-prompt-academy,11057396,https://wellfound.com/company/the-prompt-academy,https://photos.wellfound.com/startups/i/11057396-a1dcefdfa7c39128b85509820aa493d0-medium_jpg.jpg?buster=1781716343,1-10,An education platform to help upskill in AI for the workforce,,software-engineer,full-time,Software Engineer,2,,2026-08-13T19:19:32+00:00,Los Angeles,True,REMOTE,False,Argentina | Australia | Brazil | Canada | China | India | Japan | United States | South Korea,$110k – $140k • No equity,110000.0,140000.0,USD,,,,False,"**Company Description**
The Prompt Academy is hiring a Software Engineer to transform how people learn AI and technology skills. We're looking for a driven, product-minded, AI-first engineer who treats AI tools and automation as a default part of how they build — someone who can do the output of a m …[truncated for sample_output]",,,apollo,2,26
wellfound.com,2026-09-17T15:45:00.667362+00:00,https://wellfound.com/jobs/3125989-2-software-engineer,3125989,Software Engineer,Brellium,brellium,9622249,https://wellfound.com/company/brellium,https://photos.wellfound.com/startups/i/9622249-d97c87e170195936416fdd7c6e75425b-medium_jpg.jpg?buster=1765395056,51-200,Clinical teams use Brellium to ensure patient visits meet payor & clinical standards,Actively Hiring,2-software-engineer,full-time,Software Engineer,0,,2025-12-10T19:19:49+00:00,New York City,True,ONSITE,True,United States,$125k – $185k,125000.0,185000.0,USD,,,,,"## **About Brellium**

Brellium's mission is a *big* one – to improve the standard of care across the US healthcare system. We’ve built AI-powered technology that helps healthcare providers deliver safer, higher-quality care - starting with the first real-time medical review platform built to fix cl …[truncated for sample_output]",,,apollo,3,1
wellfound.com,2026-09-17T15:45:00.667362+00:00,https://wellfound.com/jobs/741838-software-engineer,741838,Software Engineer,Pack Systems,pack-systems,7525313,https://wellfound.com/company/pack-systems,https://photos.wellfound.com/startups/i/7525313-4e9bee4a402e6ecda1d4b401fcbfb53c-medium_jpg.jpg?buster=1582839351,1-10,,B2B | Scale Stage,software-engineer,full-time,Software Engineer,3,,2020-02-27T23:33:21+00:00,Palo Alto,True,,,,$80k – $140k • 0.1% – 0.5%,80000.0,140000.0,USD,,0.1,0.5,True,"### What you'll do

* Design and deliver robust maintainable microservices.
* Drive design decisions to improve the performance, maintainability, and scalability of our backend.
* Integrate with a with array of cloud providers (GKE/AWS/etc) and online services (Github/etc).
* Evaluate new tools, tec …[truncated for sample_output]",,,apollo,3,9
